동별(2),2019,2020,2021,2022
종로구,161869,158996,153789,152211
중구,136488,134635,131787,130785
용산구,245185,244645,237285,233284
성동구,308979,300505,292672,288234
광진구,366972,360109,352627,351252
동대문구,363023,357014,352006,353601
중랑구,402024,399562,391885,390140
성북구,454744,447056,440142,441984
강북구,317695,311569,302563,297702
도봉구,335631,327361,319373,313989
노원구,537303,527032,514946,508014
은평구,484546,484043,477173,470602
서대문구,323171,322952,315659,319554
마포구,385925,381858,378686,375585
양천구,462285,457781,450487,444010
강서구,598273,585901,579768,574638
구로구,439371,432488,421163,418418
금천구,251820,247835,244891,242818
영등포구,400986,407367,400908,398085
동작구,408912,401572,394364,390432
관악구,517334,509803,499449,501226
서초구,435107,429025,416167,408451
강남구,550209,544055,537800,534103
송파구,682741,673926,663965,664514
강동구,440390,463998,466472,464037
