"자치구별(1)",자치구별(2),2019,2020,2021,2022
"자치구별(1)",자치구별(2),합계,합계,합계,합계
"자치구별(1)",자치구별(2),발생,발생,발생,발생
"합계",종로구,3846,3102,2712,3138
"합계",중구,4327,3411,2861,3071
"합계",용산구,3313,2969,2381,2967
"합계",성동구,2512,2362,2112,2194
"합계",광진구,4011,3601,3087,3619
"합계",동대문구,3692,3401,2959,3253
"합계",중랑구,4268,3726,3210,3599
"합계",성북구,2877,2567,2411,2749
"합계",강북구,3838,2770,2301,2832
"합계",도봉구,2110,2179,1860,2141
"합계",노원구,4153,3743,3425,3896
"합계",은평구,3880,3390,3244,3487
"합계",서대문구,2943,2533,2278,2374
"합계",마포구,4842,3688,3540,4096
"합계",양천구,3214,3216,3015,3169
"합계",강서구,4924,4415,3896,4663
"합계",구로구,4707,4175,3486,3857
"합계",금천구,3105,2598,2439,2577
"합계",영등포구,5820,5217,4179,4819
"합계",동작구,3400,3200,2631,2735
"합계",관악구,5328,5261,4444,4879
"합계",서초구,5542,4601,3656,4459
"합계",강남구,7304,7356,6146,6947
"합계",송파구,5698,5410,4714,5167
"합계",강동구,4014,3788,3458,3711
